GEOID,Biomass_degree_centrality,Biofuels_degree_centrality,Biogas_degree_centrality,Wind_degree_centrality,Offshore_Wind_degree_centrality,Solar_degree_centrality,Concentrated_Solar_degree_centrality,Waste_to_Heat_degree_centrality,Direct_Air_Capture_degree_centrality,Carbon_Capture_And_Storage_degree_centrality,Biochar_degree_centrality,Carbon_Direct_Removal_degree_centrality,BECCS_degree_centrality,Hydrogen_degree_centrality,Nuclear_Energy_degree_centrality,Nuclear_Fusion_degree_centrality,Hydro_Energy_degree_centrality,Geothermal_degree_centrality,Battery_degree_centrality,Electric_Vehicles_degree_centrality,Sustainable_Aviation_Fuels_degree_centrality,E_Fuels_degree_centrality,Marine_Energy_degree_centrality,Heat_Pumps_degree_centrality,Railway_degree_centrality,Electric_Shipping_degree_centrality,Electric_Aviation_degree_centrality,Fuel_Cell_Aviation_degree_centrality,NAME
01003,0.0,0.0,0.0,0.0,0.0,0.0001350694256847604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002512668034674137,3.53356890459364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baldwin
01015,0.0,0.0,0.0,0.0,0.0,2.7013885136960397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53356890459364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Calhoun
01039,0.0,0.0,0.0,0.0,0.0,5.4027770273920795e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.173891105912572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Covington
01045,0.0,0.0,0.0,0.0,0.0,2.7013885136960397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dale
01073,0.0,0.0,0.0,0.0007710524866440956,0.0,0.0019720136149978416,0.0030150753768844,0.0015620932048945,0.0149647887323942,0.0034630606860156,0.0,0.0,0.0,0.0007339112884729144,0.0111596312469674,0.0,0.0,0.0,0.001298211817915141,0.0008480565371023456,0.0,0.0,0.0,0.0,0.0,0.0014110058455956,0.0013805798435342,0.0,Jefferson
01081,0.000228832951945,0.0,0.000145836371591,0.0,0.0,2.7013885136960397e-05,0.0,0.0,0.0,0.0016490765171503,0.0,0.0,0.0,4.5869455529562866e-05,0.0,0.0,0.0,0.0,0.0,7.06713780918728e-05,0.0,0.0,0.0,0.0,0.0,0.0016125781092521,0.0,0.0,Lee
01085,0.0,0.0,0.0,0.0,0.0,5.4027770273920795e-05,0.0020100502512562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002093890028895,0.000530035335689,0.0,0.0,0.0,0.0,0.0011904761904761,0.0,0.0,0.0,Lowndes
01089,0.000228832951945,0.0,0.0,5.507517761744782e-05,0.0,0.0005943054730130247,0.0,0.0,0.0,0.0016490765171503,0.0,0.0,0.0,0.001467822576945963,0.006307617661329401,0.0,0.0002428953121204,0.0002730748225013,0.0003350224046232273,0.00021201413427561838,0.0,0.0,0.0,0.0,0.000595238095238,0.0,0.000460193281178,0.0,Madison
01095,0.0,0.000593471810089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002293472776478,0.0,0.0,0.0,0.0,0.0006700448092466,7.06713780918728e-05,0.0,0.0,0.0,0.0,0.0050595238095238,0.0,0.0,0.0,Marshall
01097,0.0,0.0,0.0,0.0,0.0,0.0002701388513696,0.0,0.0,0.0158450704225352,0.0004947229551451,0.0,0.0,0.0,0.0,0.0009704027171276,0.0,0.0,0.0002730748225013,0.0003350224046232,3.53356890459364e-05,0.0,0.0,0.0,0.0,0.0,0.0040314452731304,0.0,0.0,Mobile
